"Begrip","Betekenis","Verwijzing","Woordenboek",,,,,
"%KEIKO-LICENSE%","Deze woordenlijst is samengesteld op basis van Cybersecurity Woordenboek. Van cybersecurity naar Nederlands uitgegeven door Cyberveilig Nederland. Aanvullende woorden zijn toegevoegd door Brenno de Winter ten behoeve van de module \\'Keiko\\' binnen de Kwetsbaarheden Analyse Tool (KAT).  Beiden geven de woordenlijst vrij Creative Commons Naamsvermelding 4.0-licentie. Tot slot is gebruik gemaakt voor aanvullingen van de definities van Wikipedia. Deze zijn vrijgegeven onder een  Creative Commons Naamsvermelding/Gelijk delen-licentie.",,"INFOSEC",,,,,
"0-Day",,"Zero-day","INFOSEC",,,,,
"Zero-day","1. Afkorting van zero day vulnerability. Een zwakke plek in software of hardware die nog niet bij de leverancier bekend is en dus ook nog niet is hersteld. Omdat de zwakke plek nog niet bekend is, kan niemand zich er goed tegen beschermen. De zwakke plek is pas een risico als er een exploit voor is gemaakt die de zwakke plek effectief weet te misbruiken. \n 2. Afkorting van zero day exploit. Een zero day exploit is een speciale exploit. Hij is speciaal omdat de zwakke plek die wordt misbruikt niet bij de leverancier bekend is en dus ook nog niet is hersteld. Omdat de zwakke plek nog niet bekend is, kan niemand zich er goed tegen beschermen. Daarom is een zero day exploit heel waar- devol voor aanvallers. Ontdekkers van zero days kunnen ze voor veel geld verkopen aan criminelen of inlichtingendiensten.",,"INFOSEC",,,,,
"2-stapsverificatie","Tweefactor authenticatie.","Meerfactor authenticatie","INFOSEC",,,,,
"2-trapsverificatie","Tweefactor authenticatie.","Meerfactor authenticatie","INFOSEC",,,,,
"2FA","Tweefactor authenticatie.","Meerfactor authenticatie","INFOSEC",,,,,
"AAA","Authenticatie, autorisatie en accounting.",,"INFOSEC",,,,,
"Aanval","Actie waarbij iemand met opzet de beveiliging probeert uit te schakelen of te omzeilen om in een digitaal systeem te komen.",,"INFOSEC",,,,,
"Aanvalsoppervlak","Het aantal manieren dat een aanvaller kan gebruiken om een digitaal systeem aan te vallen.","Aanvalsvector","INFOSEC",,,,,
"Aanvalsvector","Een manier die een aanvaller kan gebruiken om in een digitaal systeem te komen.","Aanvalsoppervlak","INFOSEC",,,,,
"Acceptable risk level","Het niveau van risico dat een organisatie wil lopen. ","Risico acceptatie","INFOSEC",,,,,
"Risk appetite","Het niveau van risico dat een organisatie wil lopen. ","Risico acceptatie","INFOSEC",,,,,
"Access control","Toegangsbeheersing","Toegangsbeheer","INFOSEC",,,,,
"Access Control List (ACL)","Een lijst waarop staat wie welke toegang en/of bevoegdheden heeft in een informatiesysteem of onderdeel ervan.",,"INFOSEC",,,,,
"Toegangsbeheersing",,"Toegangsbeheer","INFOSEC",,,,,
"Account","Stukje van een digitaal systeem waartoe een gebruiker toegang heeft. Bij een account hoort informatie over de gebruiker, zoals persoonlijke gegevens, inloggegevens en informatie waar de gebruiker bij mag. Er bestaan verschillende soorten accounts, zoals een gebruikersaccount of een administratoraccount voor beheerders.","Inlogcode, wachtwoord, meerfactorauthenticatie","INFOSEC",,,,,
"Accountability","Verantwoordelijk worden gehouden voor het eindresultaat",,"INFOSEC",,,,,
"Accreditatie","Verklaring van een toezichthouder dat een getoetste organisatie geschikt is om haar werk te doen. En dat haar diensten voldoen aan bepaalde eisen.",,"INFOSEC",,,,,
"Achterdeur","Een manier om via een ongewone omweg in een digitaal systeem te komen. Iemand heeft die omweg vaak met opzet gemaakt, en op zo’n manier dat anderen die niet kunnen zien. ",,"INFOSEC",,,,,
"Actor","Persoon, groep of organisatie die een digitaal systeem dreigt aan te vallen. Voorbeelden zijn: scriptkiddie, hacktivist, kwaadwillende medewerker, statelijke actor of een criminele actor.",,"INFOSEC",,,,,
"Admin","Engelstalige aanduiding voor een beheerder op een systeem","Administrator","INFOSEC",,,,,
"Administrator","Beheerder van een computersysteem of computernetwerk. Deze persoon heeft meer rechten dan een gewone gebruiker. Zo kan hij bijvoorbeeld instellingen aanpassen. En hij bepaalt wat gebruikers in een computernetwerk mogen doen en wat niet. ",,"INFOSEC",,,,,
"Adversary simulation","Oefening waarbij een organisatie aanvallen naspeelt om te ontdekken hoe goed ze is beschermd tegen aanvallen. Het Red team speelt aanvallen en aanvalsmethodes na van een gekozen tegenstander. Het Blue team probeert aanvallen van het Red team op te sporen en vervolgens tegen te gaan. Als ze een echte aanval tegenkomen, pakken ze die ook aan. Soms is er ook een White team. Dit team zorgt dat de oefening haar doel bereikt. Bijvoorbeeld door te bepalen welke informatie de beide teams krijgen. De samenwerking tussen het Red team en het Blue team heet ook wel purple teaming. Bij een Red team oefening ligt de nadruk op samenwerking tussen teams, en op het nadoen van tegenstanders en aanvallen. Bij een penetratietest probeert men zo diep mogelijk in een systeem binnen te dringen.","Red team, Blue team, White team, Purple team","INFOSEC",,,,,
"Adware","Kwaadaardige software die men in een computer zet, vaak zonder dat de gebruiker dat merkt. De software verzamelt informatie uit de computer. Die informatie gebruikt men om via advertenties doelgerichte reclame naar de gebruiker te sturen. ","Malware","INFOSEC",,,,,
"AED","Aanbieder van Essentiële Diensten. Een aanbieder die vanuit de Wet beveiliging netwerk- en informatiesystemen (Wbni) rechten en plichten heeft op het gebied van cybersecurity.",,"INFOSEC",,,,,
"Agent","Speciaal computerprogramma dat leert van zijn eigen ervaringen. Men zet het vaak in voor een bepaald doel, bijvoorbeeld om een netwerk beter te beveiligen. Het programma is zelflerend en moet daarom heel betrouwbaar zijn.",,"INFOSEC",,,,,
"AI","Artificial Intelligence in het Engels. Kunstmatige intelligentie","Kunstmatige intelligentie","INFOSEC",,,,,
"Air gap","Maatregel die ervoor zorgt dat een component of computer of netwerk niet meer verbonden is met een ander netwerk zoals internet.",,"INFOSEC",,,,,
"Algoritme","Een proces, stappenplan of een serie regels die een computer moet volgen om een probleem of rekensom op te lossen. Het lijkt op een soort recept.",,"INFOSEC",,,,,
"Angel","1. Vrijwilliger op een hackerscongres \newline 2. Eerste investeerder in een bedrijf",,"INFOSEC",,,,,
"Anomaly","Iets wat afwijkt van het normale gedrag van een netwerk, computer, laptop, smartphone of ander digitaal apparaat, vaak veroorzaakt door malware of een hacker",,"INFOSEC",,,,,
"Anomaly detection","Een afwijking ontdekken in het gedrag van een digitaal systeem. Bijvoorbeeld een netwerk, computer, laptop, smartphone of ander digitaal apparaat. Dit doet men om daarna te onderzoeken of het gaat om een ongewenste of zelfs kwaadaardige afwijking.",,"INFOSEC",,,,,
"Anomaly-based detection",,"Anomaly detection","INFOSEC",,,,,
"Anonymity","De opzet van het internet maakt het mogelijk om anoniem te handelen. Men kan dus niet achterhalen welke persoon of machine iets doet. Dit levert een bijdrage aan de vrijheid van meningsuiting en vrijheid van informatie. Maar het maakt het ook moeilijker om criminelen op te sporen. ",,"INFOSEC",,,,,
"Anonymization","Techniek waarbij data geanonimiseerd worden. Dit betekent dat men bepaalde kenmerken van de data weghaalt zodanig dat ze niet terug te halen zijn. Door deze kenmerken kun je achterhalen bij wie of wat de data horen.",,"INFOSEC",,,,,
"Antivirus","Antivirussoftware is programmatuur die probeert om computervirussen te identificeren, tegen te houden en te verwijderen. Antivirussoftware gebruikt daarvoor twee verschillende technieken: Onderzoeken van bestanden om te zoeken naar virussen die overeenkomen met de definities uit een lijst van bekende virussen.",,"INFOSEC",,,,,
"Antimalware","Antimalware is programmatuur die probeert om computervirussen te identificeren, tegen te houden en te verwijderen. Antivirussoftware gebruikt daarvoor twee verschillende technieken: Onderzoeken van bestanden om te zoeken naar virussen die overeenkomen met de definities uit een lijst van bekende virussen.",,"INFOSEC",,,,,
"Antivirussoftware","Antivirussoftware is programmatuur die probeert om computervirussen te identificeren, tegen te houden en te verwijderen. Antivirussoftware gebruikt daarvoor twee verschillende technieken: Onderzoeken van bestanden om te zoeken naar virussen die overeenkomen met de definities uit een lijst van bekende virussen.",,"INFOSEC",,,,,
"AP","Afkorting van Autoriteit Persoonsgegevens","Autoriteit Persoonsgegevens","INFOSEC",,,,,
"Autoriteit Persoonsgegevens","Nederlandse overheidsorganisatie die toezicht houdt op de manier waarop organisaties persoonsgegevens verwerken. Ze doen dit zodat de privacy van personen goed beschermd wordt. Het toezicht is in wetgeving geregeld. ",,"INFOSEC",,,,,
"Auditor","Een persoon die een audit uitvoert.","Audit","INFOSEC",,,,,
"Authenticatie","Wat men doet om vast te stellen of een ander wel is wie hij zegt te zijn. De ander kan een persoon zijn, maar ook bijvoorbeeld software of een apparaat.","Identity en access management","INFOSEC",,,,,
"Autorisatie","De bevoegdheden die een gebruiker van een computersysteem heeft om toegang te krijgen tot gegevens of handelingen te mogen uitvoeren. Bijvoorbeeld het opstarten van programma’s of het inzien, wijzigen of wissen van informatie.",,"INFOSEC",,,,,
"Availability","Engelstalige term voor beschikbaarheid","Beschikbaarheid","INFOSEC",,,,,
"AVG","1. Algemene verordening gegevensbescherming. Dit is een privacywet die geldt in de hele Europese Unie (EU). Dankzij de AVG gelden in alle landen van de EU dezelfde basis/minimum regels voor de bescherming van persoonsgegevens. De AVG is in Nederland de opvolger van de Wet Bescherming persoonsgegevens.  \newline 2. Naam van een leverancier voor het leveren van antivirussoftware.",,"INFOSEC",,,,,
"Awareness","Engelstalige aanduiding voor bewustwording. ","Bewustwording","INFOSEC",,,,,
"Backdoor","Engelstalige aanduiding voor een achterdeur","Achterdeur","INFOSEC",,,,,
"Backup","Een reservekopie van gegevens of digitale systemen. Hiermee kan men gegevens of systemen herstellen als het origineel beschadigd of weg is.",,"INFOSEC",,,,,
"Baseline","Pakket maatregelen dat ervoor moet zorgen dat de beveiliging van een netwerk een basisniveau heeft. Voorbeeld van een baseline is de BIO (Baseline Informatie Overheid). ",,"INFOSEC",,,,,
"BIO","Afkorting van Baseline Informatiebeveiliging Overheid","Baseline Informatiebeveiliging Overheid","INFOSEC",,,,,
"Baseline Informatiebeveiliging Overheid","De Baseline Informatiebeveiliging Overheid (BIO) beschrijft het basisniveau voor informatiebeveiliging. De BIO wordt gehanteerd binnen de Nederlandse overheid, door het Rijk, Gemeenten, Waterschappen en Provincies. Dit is één basisniveau voor informatiebeveiliging, één gezamenlijke taal voor alle overheidsorganisaties.",,"INFOSEC",,,,,
"BCI","Business Continuity Impact","Business continuity impact","INFOSEC",,,,,
"Bedrijfsrisico","Risico dat er iets gebeurt wat negatieve gevolgen heeft voor de doelstellingen en resultaten van een bedrijf","Risico","INFOSEC",,,,,
"Behavioral targeting","Engelstalige aanduiding voor profilering","Profilering","INFOSEC",,,,,
"Beheersmaatregel","Een activiteit met als doel om de oorzaak of het gevolg van een ongewenste gebeurtenis te voorkomen, weg te nemen, of te verkleinen.",,"INFOSEC",,,,,
"Betrouwbaarheid","Mate waarin digitale (genetwerkte) systemen beschikbaar zijn voor gebruik. Cyberaanvallen, uitval en storingen kunnen de betrouwbaarheid beïnvloeden.",,"INFOSEC",,,,,
"Beschikbaarheid","1. De zekerheid dat gebruikers in een informatiesysteem of bij informatie kunnen wanneer zij dat willen.  \newline 2. Een percentage van de tijd dat gebruikers in een digitaal systeem konden. Gepland systeemonderhoud telt niet mee.",,"INFOSEC",,,,,
"Best practive","Een techniek, werkmethode of activiteit die in de praktijk heeft bewezen effectief te zijn. ",,"INFOSEC",,,,,
"Beveiliging","Alle maatregelen die nodig zijn om een digitaal systeem te beschermen tegen schadelijke invloeden.","Risico, threat, kwetsbaarheid, asset","INFOSEC",,,,,
"API","Application Programming Interface. Een programma waarmee applicaties onderling communiceren zonder dat mensen dit aansturen. Veelgebruikte methodes over het internet zijn bijvoorbeeld SOAP en REST. ",,"INFOSEC",,,,,
